,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-06-24 00:00:00+00:00,47.85685729980469,11011.1025390625,57.900001525878906,310.4246826171875,1414.300048828125,92.63530731201172,131.16375732421875,182.0146484375,14.909333229064941,2945.35009765625
2019-06-25 00:00:00+00:00,47.1314582824707,11790.9169921875,57.83000183105469,318.1263122558594,1414.9000244140625,91.86805725097656,127.02267456054688,178.89015197753906,14.650667190551758,2917.3798828125
2019-06-26 00:00:00+00:00,48.15087890625,13016.2314453125,59.380001068115234,336.753173828125,1411.5999755859375,92.48185729980469,127.49861145019531,179.72203063964844,14.618000030517578,2913.780029296875
2019-06-27 00:00:00+00:00,48.13640594482422,11182.806640625,59.43000030517578,294.26763916015625,1408.4000244140625,92.78878021240234,127.70806884765625,180.40887451171875,14.855999946594238,2924.919921875
2019-06-28 00:00:00+00:00,47.69780731201172,12407.33203125,58.470001220703125,311.2261047363281,1409.699951171875,95.31224822998047,127.52726745605469,180.6410369873047,14.897333145141602,2941.760009765625
2019-06-29 00:00:00+00:00,,11959.37109375,,320.05889892578125,,,,,,
2019-06-30 00:00:00+00:00,,10817.1552734375,,290.69598388671875,,,,,,
2019-07-01 00:00:00+00:00,48.572608947753906,10583.134765625,59.09000015258789,293.64111328125,1385.5999755859375,96.91499328613281,129.16461181640625,183.07872009277344,15.14466667175293,2964.330078125
2019-07-02 00:00:00+00:00,48.85698318481445,10801.677734375,56.25,291.596435546875,1404.5999755859375,97.01728820800781,130.02139282226562,183.80422973632812,14.970000267028809,2973.010009765625
2019-07-03 00:00:00+00:00,49.261863708496094,11961.26953125,57.34000015258789,303.0999755859375,1417.699951171875,96.86274719238281,130.8591766357422,185.1875457763672,15.65999984741211,2995.820068359375
2019-07-04 00:00:00+00:00,,11215.4375,,284.5232238769531,,,,,,
2019-07-05 00:00:00+00:00,49.21847152709961,10978.4599609375,57.5099983215332,287.9975280761719,1396.699951171875,97.43798828125,130.47837829589844,184.81028747558594,15.539999961853027,2990.409912109375
2019-07-06 00:00:00+00:00,,11208.55078125,,287.547119140625,,,,,,
2019-07-07 00:00:00+00:00,,11450.8466796875,,305.7005615234375,,,,,,
2019-07-08 00:00:00+00:00,48.203895568847656,12285.9580078125,57.65999984741211,313.25140380859375,1397.0,96.90568542480469,130.3831787109375,183.5140380859375,15.355999946594238,2975.949951171875
2019-07-09 00:00:00+00:00,48.497901916503906,12573.8125,57.83000183105469,308.8810119628906,1397.5,97.31779479980469,129.9071807861328,184.43301391601562,15.337332725524902,2979.6298828125
2019-07-10 00:00:00+00:00,48.977481842041016,12156.5126953125,60.43000030517578,290.0023193359375,1410.0999755859375,97.03446197509766,131.2304229736328,186.27093505859375,15.928000450134277,2993.070068359375
2019-07-11 00:00:00+00:00,48.620819091796875,11358.662109375,60.20000076293945,268.70404052734375,1404.300048828125,97.96170043945312,131.7539825439453,186.13555908203125,15.90666675567627,2999.909912109375
2019-07-12 00:00:00+00:00,48.994354248046875,11815.986328125,60.209999084472656,276.2767028808594,1409.9000244140625,98.99197387695312,132.23001098632812,187.20925903320312,16.338666915893555,3013.77001953125
2019-07-13 00:00:00+00:00,,11392.37890625,,269.45880126953125,,,,,,
2019-07-14 00:00:00+00:00,,10256.05859375,,227.57806396484375,,,,,,
2019-07-15 00:00:00+00:00,49.45465850830078,10895.08984375,59.58000183105469,229.7760009765625,1411.4000244140625,97.78998565673828,132.23001098632812,187.80897521972656,16.899999618530273,3014.300048828125
2019-07-16 00:00:00+00:00,49.283546447753906,9477.6416015625,57.619998931884766,199.1886749267578,1409.199951171875,98.83743286132812,130.4973907470703,186.8416748046875,16.825332641601562,3004.0400390625
2019-07-17 00:00:00+00:00,49.00640106201172,9693.802734375,56.779998779296875,211.48497009277344,1421.300048828125,97.86724853515625,129.72628784179688,185.92271423339844,16.99066734313965,2984.419921875
2019-07-18 00:00:00+00:00,49.5631103515625,10666.482421875,55.29999923706055,226.566162109375,1426.0999755859375,98.4510726928711,129.8690948486328,186.13555908203125,16.902666091918945,2995.110107421875
2019-07-19 00:00:00+00:00,48.8232421875,10530.732421875,55.630001068115234,221.3334197998047,1425.0999755859375,97.48091125488281,130.05946350097656,184.7716064453125,17.211999893188477,2976.610107421875
2019-07-20 00:00:00+00:00,,10767.1396484375,,229.1192169189453,,,,,,
2019-07-21 00:00:00+00:00,,10599.10546875,,225.63076782226562,,,,,,
2019-07-22 00:00:00+00:00,49.93906021118164,10343.1064453125,56.220001220703125,217.5600128173828,1425.300048828125,98.107666015625,131.78256225585938,186.2418975830078,17.045333862304688,2985.030029296875
2019-07-23 00:00:00+00:00,50.329471588134766,9900.767578125,56.77000045776367,212.728515625,1420.0999755859375,99.90204620361328,132.6012725830078,187.46078491210938,17.344667434692383,3005.469970703125
2019-07-24 00:00:00+00:00,50.28849411010742,9811.92578125,55.880001068115234,217.04637145996094,1422.800048828125,100.30558013916016,133.96261596679688,188.7763671875,17.658666610717773,3019.56005859375
2019-07-25 00:00:00+00:00,49.89086151123047,9911.841796875,56.02000045776367,219.6179962158203,1413.9000244140625,99.34397888183594,133.45806884765625,186.98678588867188,15.254667282104492,3003.669921875
2019-07-26 00:00:00+00:00,50.06437301635742,9870.3037109375,56.20000076293945,219.62960815429688,1418.5,99.78184509277344,134.55282592773438,188.9117889404297,15.202667236328125,3025.860107421875
2019-07-27 00:00:00+00:00,,9477.677734375,,207.40830993652344,,,,,,
2019-07-28 00:00:00+00:00,,9552.8603515625,,211.18655395507812,,,,,,
2019-07-29 00:00:00+00:00,50.53190994262695,9519.1455078125,56.869998931884766,211.26805114746094,1419.5999755859375,99.46417999267578,134.25770568847656,188.26368713378906,15.718000411987305,3020.969970703125
2019-07-30 00:00:00+00:00,50.314998626708984,9607.423828125,58.04999923706055,210.52259826660156,1429.699951171875,99.240966796875,133.61041259765625,187.45111083984375,16.150667190551758,3013.179931640625
